0,1,2
鋼鐵人,鋼鐵人主場,68.15
鋼鐵人,非鋼鐵人主場,66.15
攻城獅,鋼鐵人主場,59.52
攻城獅,非鋼鐵人主場,63.37
領航猿,鋼鐵人主場,72.55
領航猿,非鋼鐵人主場,68.06
國王,鋼鐵人主場,70.24
國王,非鋼鐵人主場,71.9
勇士,鋼鐵人主場,77.78
勇士,非鋼鐵人主場,66.98
夢想家,鋼鐵人主場,69.33
夢想家,非鋼鐵人主場,68.76
鋼鐵人,攻城獅主場,57.69
鋼鐵人,非攻城獅主場,68.49
攻城獅,攻城獅主場,61.84
攻城獅,非攻城獅主場,64.04
領航猿,攻城獅主場,62.3
領航猿,非攻城獅主場,69.37
國王,攻城獅主場,77.98
國王,非攻城獅主場,70.52
勇士,攻城獅主場,57.75
勇士,非攻城獅主場,69.25
夢想家,攻城獅主場,68.52
夢想家,非攻城獅主場,68.86
鋼鐵人,領航猿主場,75.76
鋼鐵人,非領航猿主場,66.81
攻城獅,領航猿主場,64.47
攻城獅,非領航猿主場,62.77
領航猿,領航猿主場,70.66
領航猿,非領航猿主場,66.54
國王,領航猿主場,77.42
國王,非領航猿主場,71.13
勇士,領航猿主場,67.74
勇士,非領航猿主場,67.84
夢想家,領航猿主場,69.35
夢想家,非領航猿主場,68.77
鋼鐵人,國王主場,68.97
鋼鐵人,非國王主場,67.29
攻城獅,國王主場,68.35
攻城獅,非國王主場,62.32
領航猿,國王主場,56.82
領航猿,非國王主場,69.63
國王,國王主場,69.7
國王,非國王主場,73.54
勇士,國王主場,76.47
勇士,非國王主場,66.98
夢想家,國王主場,78.12
夢想家,非國王主場,67.75
鋼鐵人,勇士主場,70.27
鋼鐵人,非勇士主場,67.16
攻城獅,勇士主場,78.95
攻城獅,非勇士主場,61.65
領航猿,勇士主場,75.68
領航猿,非勇士主場,67.95
國王,勇士主場,68.0
國王,非勇士主場,71.84
勇士,勇士主場,69.93
勇士,非勇士主場,65.89
夢想家,勇士主場,59.02
夢想家,非勇士主場,69.91
鋼鐵人,夢想家主場,63.64
鋼鐵人,非夢想家主場,67.74
攻城獅,夢想家主場,54.12
攻城獅,非夢想家主場,64.05
領航猿,夢想家主場,67.14
領航猿,非夢想家主場,68.74
國王,夢想家主場,69.62
國王,非夢想家主場,71.97
勇士,夢想家主場,57.14
勇士,非夢想家主場,69.31
夢想家,夢想家主場,68.67
夢想家,非夢想家主場,68.99
